34597	19	19533
7298	4	39015
34597	19	19235
22487	29	37932
11127	10	18080
1121	10	18080
30169	17	16683
156	12	21147
1424	10	16879
10005	10	18080
1424	3	34412
1211	10	16724
16064	10	18685
10549	10	16724
31789	33	58871
15189	6	29062
1275	12	19074
46292	22	17582
15332	6	47092
22251	21	20936
1535	10	16724
46966	29	57328
14451	10	16724
14475	10	16724
1275	10	19074
38349	18	21406
33058	19	19235
1275	10	19074
1067	10	16724
34628	22	19235
15013	10	18622
16188	10	19339
1280	10	18622
32242	33	46387
50153	18	19728
12954	10	16992
156	3	41486
28901	31	47830
341	16	20498
391	7	23223
16188	10	20633
10084	10	20878
14612	10	19553
1220	10	18622
700	4	33058
1275	10	18622
14904	10	18622
40479	35	40576
1275	4	28290
14612	10	19553
15317	10	19339
32936	26	20583
23144	21	21147
32936	24	17499
56815	22	19312
8717	12	19074
13562	10	17447
1221	10	17447
11086	10	16503
1211	10	17447
1211	10	17447
10002	10	17447
15700	10	17447
14277	10	17447
11861	10	17447
15260	10	17447
1221	10	17447
23598	17	17447
15881	16	17785
10851	10	17447
29896	17	18485
14284	10	18791
10005	10	17286
15178	13	21556
30150	33	48525
16277	10	19393
10599	10	17962
35644	29	39932
38136	24	21498
1145	10	17510
1211	10	16682
8420	12	19553
32069	19	21341
1278	10	17674
22991	17	16814
13572	10	18791
24670	17	20023
1275	13	20560
39015	21	18890
15238	10	18791
46975	31	47134
10350	10	17818
33876	34	43719
10753	16	19460
35584	21	20583
156	10	19964
1676	9	23144
38136	24	21498
14361	10	20243
507	10	20213
10753	10	17498
10005	10	17818
10753	10	17587
10753	11	18991
22665	33	25659
10753	11	19338
10053	10	17818
10753	10	19304
10753	10	16638
39776	19	17924
